_epoch #	policy type=max_prob_output vars=s_bday-s_byear param=999/1	memoize maximize fault	memoize maximize hit	memoize count fault	memoize count hit	latte constraints max	latte constraints total	latte maximize constraints max	latte maximize constraints total	latte count constraints max	latte count constraints total	query (s)	simplify (s)	latte maximize (s)	latte count (s)	_epoch (s)	query (real s)	simplify (real s)	latte maximize (real s)	latte count (real s)	_epoch (real s)	query total (s)	simplify total (s)	latte maximize total (s)	latte count total (s)	_epoch total (s)	query total (real s)	simplify total (real s)	latte maximize total (real s)	latte count total (real s)	_epoch total (real s)	precision
2	1.	0	0	0	0	0	0	0	0	0	0	0.494122000001	0.001447	0.	0.	0.494131000001	0.4941239357	0.00144362449646	0.	0.	0.494130849839	0.501622000001	0.002035	0.	0.	0.506293000001	0.501626968384	0.00202655792237	0.	0.	0.506296873093	1
2	1.	0	0	0	0	0	0	0	0	0	0	0.508528000001	0.002736	0.	0.	0.508867000001	0.508588075638	0.00273513793946	0.	0.	0.50886797905	0.519054000001	0.00277	0.	0.	0.523996000001	0.519117116929	0.00276017189026	0.	0.	0.523995876313	5
2	0.000383715129888	0	0	0	0	0	0	0	0	0	0	0.531257000001	8.99999999993e-06	0.	0.	0.531268000001	0.531363010407	5.96046447754e-06	0.	0.	0.531369924546	0.542164000001	3.3e-05	0.	0.	0.546777000001	0.542271852494	2.16960906983e-05	0.	0.	0.546876668931	0
2	0.000822368421053	0	0	0	0	0	0	0	0	0	0	0.506552000001	0.002845	0.	0.	0.506562000001	0.50655412674	0.00284290313721	0.	0.	0.506561040879	0.517045000001	0.002878	0.	0.	0.521632000001	0.517050266266	0.00286746025086	0.	0.	0.521640777588	5
2	1.	0	0	0	0	0	0	0	0	0	0	0.511598000001	0.00263300000001	0.	0.	0.511609000001	0.511620044709	0.00263524055481	0.	0.	0.511628866196	0.523292000001	0.00266400000001	0.	0.	0.527861000001	0.523342132569	0.00266003608704	0.	0.	0.527912855149	4
2	1.	0	0	0	0	0	0	0	0	0	0	0.511552000001	0.00291800000001	0.	0.	0.511562000001	0.511573791504	0.00291895866395	0.	0.	0.511580944062	0.522543000001	0.00295400000001	0.	0.	0.527144000001	0.522565841675	0.00294756889344	0.	0.	0.527161836625	5
2	0.00207866965143	0	0	0	0	0	0	0	0	0	0	0.528038000001	0.002648	0.	0.	0.528051000001	0.528042078019	0.00264501571656	0.	0.	0.528051137925	0.539353000001	0.00268	0.	0.	0.543896000001	0.539360046387	0.00267148017884	0.	0.	0.543896913529	8
2	1.	0	0	0	0	0	0	0	0	0	0	0.496673000001	0.002778	0.	0.	0.496680000001	0.496720075608	0.00277495384217	0.	0.	0.496726989747	0.506641000001	0.00281	0.	0.	0.511060000001	0.50669002533	0.00280117988587	0.	0.	0.511106014252	3
2	0.00519713261649	0	0	0	0	0	0	0	0	0	0	0.510350000001	0.00294000000001	0.	0.	0.510359000001	0.510353088379	0.0029411315918	0.	0.	0.510358810425	0.520550000001	0.00297100000001	0.	0.	0.524943000001	0.520563125611	0.00296592712403	0.	0.	0.524947643281	6
2	0.00104993000467	0	0	0	0	0	0	0	0	0	0	0.490399000001	0.00171000000001	0.	0.	0.490407000001	0.490399837494	0.00171089172364	0.	0.	0.490406990052	0.498173000001	0.00201600000001	0.	0.	0.502774000001	0.498178482056	0.00201272964478	0.	0.	0.502774000168	2
2	1.	0	0	0	0	0	0	0	0	0	0	0.520807000001	0.00280600000001	0.	0.	0.520816000001	0.520807981492	0.00280523300171	0.	0.	0.520815134049	0.530977000001	0.00283500000001	0.	0.	0.535554000001	0.530980825425	0.00282788276673	0.	0.	0.535553216935	8
2	1.	0	0	0	0	0	0	0	0	0	0	0.500952000001	0.00300900000001	0.	0.	0.500962000001	0.500955104828	0.00301265716553	0.	0.	0.500960826874	0.511478000001	0.00304100000001	0.	0.	0.516076000001	0.511484146119	0.00303602218628	0.	0.	0.516071796418	3
2	1.	0	0	0	0	0	0	0	0	0	0	0.511438000001	0.00280700000001	0.	0.	0.511447000001	0.511440038682	0.00280833244324	0.	0.	0.51144695282	0.521631000001	0.00326300000001	0.	0.	0.526247000001	0.521635055542	0.0032594203949	0.	0.	0.526245117188	2
2	1.	0	0	0	0	0	0	0	0	0	0	0.524829000001	0.00288700000001	0.	0.	0.524838000001	0.524910926819	0.00288176536561	0.	0.	0.524918794632	0.535361000001	0.00291800000001	0.	0.	0.539984000001	0.535446166993	0.00290966033936	0.	0.	0.540060520173	9
2	0.00201877460382	0	0	0	0	0	0	0	0	0	0	0.502917000001	0.00267600000001	0.	0.	0.502926000001	0.50296497345	0.002671957016	0.	0.	0.502971887589	0.512905000001	0.00270500000001	0.	0.	0.517185000001	0.512955904007	0.00269675254822	0.	0.	0.517231702805	5
2	1.	0	0	0	0	0	0	0	0	0	0	0.502835000001	0.002772	0.	0.	0.502844000001	0.502882957459	0.00277376174927	0.	0.	0.502889871598	0.513042000001	0.002805	0.	0.	0.517406000001	0.513091802598	0.00279760360718	0.	0.	0.517450094224	4
2	0.000383715129888	0	0	0	0	0	0	0	0	0	0	0.525575000001	9.00000000004e-06	0.	0.	0.525585000001	0.525624036789	7.15255737305e-06	0.	0.	0.525629997254	0.535795000001	3.20000000001e-05	0.	0.	0.540078000001	0.53584599495	2.50339508057e-05	0.	0.	0.540121078492	0
2	1.	0	0	0	0	0	0	0	0	0	0	0.510341000001	0.002862	0.	0.	0.510350000001	0.510389089585	0.00285983085633	0.	0.	0.510394811631	0.520666000001	0.002893	0.	0.	0.525178000001	0.520715236664	0.00288367271424	0.	0.	0.525219678879	5
2	1.	0	0	0	0	0	0	0	0	0	0	0.503154000001	0.002632	0.	0.	0.503163000001	0.503201961518	0.00263214111329	0.	0.	0.503207921982	0.513925000001	0.002664	0.	0.	0.518556000001	0.513975143433	0.00265622138978	0.	0.	0.518599748612	4
