precision	_samples	_average _epoch total (real s)	_median _epoch total (real s)	_siqr _epoch total (real s)	_average _epoch total (s)	_median _epoch total (s)	_siqr _epoch total (s)	_average policy type=max_prob_output vars=s_bday-s_byear param=3602879701896397/72057594037927936	_median policy type=max_prob_output vars=s_bday-s_byear param=3602879701896397/72057594037927936	_siqr policy type=max_prob_output vars=s_bday-s_byear param=3602879701896397/72057594037927936
1	12	12.6610579093658	13.4311779738	1.2436361909	4.44507608334333	4.45756250001	0.0099007499999999	0.00129776496035	0.00129776496035	0
2	12	18.3134635687417	18.13305997855	0.834397137174999	5.49122183334333	5.49077100001	0.0179164999999997	0.000357166049744	0.000357166049744	0
3	12	24.2578559915833	24.2203122378	0.7733154893	7.42958808334333	7.42780750001	0.00756225000000033	0.000211043321439	0.000211043321439	0
4	12	23.7451449831833	24.3189760447	1.5722107887	7.50017400001	7.50235150001	0.0289584999999999	0.000211043321439	0.000211043321439	0
5	12	27.277391175475	27.7466127873	1.32177191975	8.50254300001	8.49430900001	0.0145079999999993	0.000211043321439	0.000211043321439	0
6	12	26.0486944715583	27.8372844458	2.393680691725	9.14003583334333	9.15113300001	0.0295147499999997	0.000211043321439	0.000211043321439	0
7	12	32.9210414489583	33.74243772035	2.312679946425	10.7374285001	10.7380525001	0.0152555000000003	0.000211043321439	0.000211043321439	0
8	12	31.70758950715	32.10464620595	1.38640600445	10.2334544167667	10.2379510001	0.0240227500000003	0.000402900886382	0.000402900886382	0
9	12	34.7890226046667	35.26853048805	1.698896884925	11.2300945001	11.2296165001	0.0237702500000001	0.000402900886382	0.000402900886382	0
10	12	34.0600313147417	35.90855300435	1.543805062775	11.8253120001	11.8614275001	0.0264089999999992	0.000402900886382	0.000402900886382	0
11	12	36.9867371917167	39.5340601206	5.552583277225	13.3197355834333	13.3368295001	0.0433569999999994	0.000230229077933	0.000230229077933	0
12	12	37.3540991744083	37.9460395575	1.180199682725	12.7832684167667	12.8013510001	0.0202762500000002	0.000402900886382	0.000402900886382	0
13	12	37.38600577915	40.87560212615	3.017336845425	13.6344921667667	13.6408110001	0.0326327500000012	0.000402900886382	0.000402900886382	0
14	12	43.9422560732083	43.67085623745	1.0154262781	14.1938565001	14.1983285001	0.0282967500000009	0.000402900886382	0.000402900886382	0
15	12	49.0791234175917	49.81814789775	2.04096764325	15.6639414167667	15.6777135001	0.0321189999999989	0.000230229077933	0.000230229077933	0
16	12	45.3888140917417	46.45983219155	2.805847644825	15.0347349167667	15.0546475001	0.00969725000000032	0.000402900886382	0.000402900886382	0
17	12	48.6544014216083	49.54104590425	2.225090563275	15.9037821667667	15.9094550001	0.0196185000000009	0.000402900886382	0.000402900886382	0
18	12	49.8989004294583	49.53643345835	2.8590657115	16.4389879167667	16.4440080001	0.02773775	0.000402900886382	0.000402900886382	0
19	12	54.129765490725	54.13972949985	2.86795431375	17.9077875001	17.9181765001	0.0317367500000003	0.000230229077933	0.000230229077933	0
20	12	51.9555949966583	54.4686623812	2.82521092895	17.2916245001	17.3169780001	0.032815750000001	0.000402900886382	0.000402900886382	0
21	12	53.6724513571	55.59491753585	3.4237199426	18.1294184167667	18.1297765001	0.036475750000001	0.000402900886382	0.000402900886382	0
22	12	62.0011091630167	61.7298675776	1.686050176625	20.9798275001	20.9930990001	0.0575019999999995	0.000402900886382	0.000402900886382	0
23	12	65.1892982920583	65.83379781255	4.732536613925	21.5278192501	21.5283140001	0.0594462499999988	0.000230229077933	0.000230229077933	0
24	12	64.8544470668417	65.4317854643	1.316771805275	21.1883260834333	21.2027475001	0.0363205000000004	0.000230229077933	0.000230229077933	0
25	12	60.266935030675	60.8955594302	8.3836993575	21.6831120834333	21.7145200001	0.1070145	0.000230229077933	0.000230229077933	0
26	12	66.605840385025	66.2778525353	3.68041568995	22.1470901667667	22.1399840001	0.0347225000000009	0.000230229077933	0.000230229077933	0
27	12	67.1107074221333	67.71950626375	2.909708201875	22.7163878334333	22.7250855001	0.0305470000000003	0.000230229077933	0.000230229077933	0
28	12	69.5349433223917	69.6591908932	2.01043325662501	22.6941622501	22.6831795001	0.0462070000000008	0.000230229077933	0.000230229077933	0
29	12	70.52932099505	71.569090128	3.60576975345001	23.3129950001	23.3134030001	0.0149342499999996	0.000230229077933	0.000230229077933	0
30	12	73.9552335938167	72.9223108292	3.2067706585	23.8613852501	23.8416805001	0.0422775000000009	0.000230229077933	0.000230229077933	0
31	12	69.4343491991833	73.3039798737	7.16595107315	24.3912760001	24.4024750001	0.0473167500000002	0.000230229077933	0.000230229077933	0
32	12	70.0672814250417	71.96762490275	6.0004736185	24.3438683334333	24.3586765001	0.0568075000000015	0.000230229077933	0.000230229077933	0
33	12	69.14524587	71.34428548815	5.22311341762499	24.9866697501	25.0096645001	0.0763592499999994	0.000230229077933	0.000230229077933	0
34	12	78.3848895431167	76.53229808815	3.2236239314	25.5576310834333	25.5557465001	0.0455949999999987	0.000230229077933	0.000230229077933	0
35	12	77.6891931295917	79.8429008723	1.6128807664	26.1412920001	26.1473815001	0.036162749999999	0.000230229077933	0.000230229077933	0
36	12	74.5176204046167	76.73068284995	3.360863864425	26.0635703334333	26.0844675001	0.0225650000000002	0.000230229077933	0.000230229077933	0
37	12	79.9916690191	80.17194199565	2.0965280533	26.7538089167667	26.7416785001	0.0278554999999994	0.000230229077933	0.000230229077933	0
38	12	83.0229484041917	83.9448105097	4.30968505142501	27.2978727501	27.3136325001	0.0497742500000005	0.000230229077933	0.000230229077933	0
39	12	78.8126353423417	79.05323064335	5.778812646875	27.8277831667667	27.8447320001	0.0422864999999994	0.000230229077933	0.000230229077933	0
40	12	84.6772470276	84.7334234715	4.02060925959999	27.7689463334333	27.7779165001	0.031002749999999	0.000230229077933	0.000230229077933	0
