precision	_samples	_average _epoch total (real s)	_median _epoch total (real s)	_siqr _epoch total (real s)	_average _epoch total (s)	_median _epoch total (s)	_siqr _epoch total (s)	_average policy type=max_prob_output vars=s_bday-s_byear param=3602879701896397/72057594037927936	_median policy type=max_prob_output vars=s_bday-s_byear param=3602879701896397/72057594037927936	_siqr policy type=max_prob_output vars=s_bday-s_byear param=3602879701896397/72057594037927936
0	12	4.36028561989833	4.32134652138	1.052056491375	1.28361058334333	1.28125550001	0.0150417500000001	0.00141442715701	0.00141442715701	0
1	12	2.95571196079833	3.162630558015	1.17622321844	1.01158225000775	1.01430600001	0.01115900000225	1	1	0
2	12	3.39253536860583	3.26566588879	0.6006539464	1.01653341667517	1.01571600001	0.00662074999999995	0.00141442715701	0.00141442715701	0
3	12	4.29808360338917	4.119347572335	0.70544874668	1.28453033334333	1.28381550001	0.0079285	0.00141442715701	0.00141442715701	0
4	12	4.17274379730667	3.494733333595	1.3822730183625	1.28297583334333	1.28387850001	0.01081275	0.00141442715701	0.00141442715701	0
5	12	4.39916493495917	4.39868533612	0.7034845352175	1.28651975001	1.28361150001	0.00834199999999996	0.00141442715701	0.00141442715701	0
6	12	3.86815750599417	3.3416800499	1.0615229606625	1.28473991667667	1.28761600001	0.0119514999999999	0.00141442715701	0.00141442715701	0
7	12	4.07241064310583	3.74028897286	0.725162804125	1.28229716667667	1.27781950001	0.0103255000000001	0.00141442715701	0.00141442715701	0
8	12	3.58384408553917	3.406045079235	0.42607295513	1.27830116667667	1.27947100001	0.00419075000000002	0.00141442715701	0.00141442715701	0
9	12	3.60335695744	3.21731901169	0.537285745145	1.27976850001	1.27892650001	0.00571125000000006	0.00141442715701	0.00141442715701	0
10	12	3.9189604322175	3.869334101685	1.165081083775	1.27695133334333	1.27694500001	0.01281475	0.00141442715701	0.00141442715701	0
11	12	3.45851254463833	3.442185401925	1.289523005485	1.27513591667667	1.27869200001	0.0124825	0.00141442715701	0.00141442715701	0
12	12	3.39587614934083	3.47930455208	0.332819223405	1.27339550001	1.27250450001	0.00455800000000006	0.00141442715701	0.00141442715701	0
13	12	3.5426305731175	3.58206498623	0.4653717279425	1.27965891667667	1.27976850001	0.00828949999999995	0.00141442715701	0.00141442715701	0
14	12	4.15426313877667	4.07152354718	0.700086712835	1.28427958334333	1.28467350001	0.00905900000000015	0.00141442715701	0.00141442715701	0
15	12	4.63743088643333	4.358353495605	1.2912107110025	1.28874483334333	1.28828000001	0.010414	0.00141442715701	0.00141442715701	0
16	12	4.3424794077925	3.990759491925	1.149492919445	1.28617833334333	1.28370250001	0.01013425	0.00141442715701	0.00141442715701	0
17	12	4.30599031846167	4.19843792916	1.0173305273025	1.28427791667667	1.28353300001	0.00792249999999994	0.00141442715701	0.00141442715701	0
18	12	4.17935468753583	4.214192032815	0.7394460439675	1.28475091667667	1.28311550001	0.011657	0.00141442715701	0.00141442715701	0
19	12	3.913709779585	4.02337253094	0.6090147495275	1.28161700001	1.28160000001	0.0130187500000001	0.00141442715701	0.00141442715701	0
20	12	3.80961674452167	3.903962969785	0.5495634675	1.28151133334333	1.28046000001	0.00548325000000005	0.00141442715701	0.00141442715701	0
21	12	4.04922425747417	4.31207501889	0.9637422561625	1.28335125001	1.28654150001	0.00946175000000005	0.00141442715701	0.00141442715701	0
