policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.x=1]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=2]	11/158	0.069621	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=3]	24/403	0.059554	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=4]	25/472	0.052967	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=5]	26/521	0.049905	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=6]	27/562	0.048043	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=7]	28/605	0.046281	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=8]	14/325	0.043077	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=9]	29/697	0.041607	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=10]	30/743	0.040377	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=11]	31/790	0.039241	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=12]	1/27	0.037038	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=13]	16/443	0.036118	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=14]	3/85	0.035295	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=15]	34/985	0.034518	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=16]	17/517	0.032883	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=17]	1/31	0.032259	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=18]	9/284	0.031691	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=19]	37/1180	0.031356	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=20]	37/1214	0.030478	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=21]	19/623	0.030498	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=22]	3/98	0.030613	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=23]	2/65	0.030770	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=24]	20/661	0.030258	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=25]	41/1342	0.030552	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=26]	3/97	0.030928	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=27]	43/1372	0.031342	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=28]	43/1382	0.031115	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=29]	22/695	0.031655	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=30]	45/1394	0.032282	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=31]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=32]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=33]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=34]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=35]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=36]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=37]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=38]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=39]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=40]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=41]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=42]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=43]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=44]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=45]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=46]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=47]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=48]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=49]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=50]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=51]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=52]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=53]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=54]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=55]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=56]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=57]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=58]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=59]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=60]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=61]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=62]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=63]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=64]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=65]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=66]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=67]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=68]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=69]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=70]	23/698	0.032952	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=71]	46/1395	0.032975	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=72]	23/696	0.033046	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=73]	46/1387	0.033166	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=74]	1/30	0.033334	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=75]	46/1371	0.033553	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=76]	23/680	0.033824	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=77]	46/1347	0.034150	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=78]	23/666	0.034535	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=79]	46/1315	0.034981	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=80]	23/648	0.035494	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=81]	46/1275	0.036079	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=82]	23/626	0.036742	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=83]	46/1227	0.037490	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=84]	23/600	0.038334	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=85]	46/1171	0.039283	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=86]	3/76	0.039474	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=87]	44/1107	0.039748	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=88]	43/1072	0.040112	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=89]	14/345	0.040580	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=90]	41/996	0.041165	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=91]	8/191	0.041885	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=92]	13/304	0.042764	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=93]	38/867	0.043830	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=94]	37/820	0.045122	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=95]	12/257	0.046693	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=96]	7/144	0.048612	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=97]	34/667	0.050975	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=98]	11/204	0.053922	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=99]	32/555	0.057658	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=100]	1/16	0.062500	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=1]	19/235	0.080852	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=2]	11/158	0.069621	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=3]	24/403	0.059554	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=4]	25/472	0.052967	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=5]	26/521	0.049905	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=6]	27/562	0.048043	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=7]	28/605	0.046281	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=8]	14/325	0.043077	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=9]	29/697	0.041607	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=10]	30/743	0.040377	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=11]	31/790	0.039241	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=12]	1/27	0.037038	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=13]	16/443	0.036118	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=14]	3/85	0.035295	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=15]	34/985	0.034518	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=16]	17/517	0.032883	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=17]	1/31	0.032259	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=18]	9/284	0.031691	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=19]	37/1180	0.031356	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=20]	37/1214	0.030478	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=21]	19/623	0.030498	[similar=1]
P_1-P_3	P_1	P_3	[P_3.x=22]	3/98	0.030613	[similar=1]
