policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.x=1]	1/5	0.200000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=2]	3/16	0.187500	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=3]	7/41	0.170732	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=4]	7/50	0.140000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=5]	4/29	0.137932	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=6]	9/62	0.145162	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=7]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=8]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=9]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=10]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=11]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=12]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=13]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=14]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=15]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=16]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=17]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=18]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=19]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=20]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=21]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=22]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=23]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=24]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=25]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=26]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=27]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=28]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=29]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=30]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=31]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=32]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=33]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=34]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=35]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=36]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=37]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=38]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=39]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=40]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=41]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=42]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=43]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=44]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=45]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=46]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=47]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=48]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=49]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=50]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=51]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=52]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=53]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=54]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=55]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=56]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=57]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=58]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=59]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=60]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=61]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=62]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=63]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=64]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=65]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=66]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=67]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=68]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=69]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=70]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=71]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=72]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=73]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=74]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=75]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=76]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=77]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=78]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=79]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=80]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=81]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=82]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=83]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=84]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=85]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=86]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=87]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=88]	5/32	0.156250	[similar=1]
