policy_on	_samples	_average max_belief_float	_median max_belief_float	_siqr max_belief_float	_q_lower max_belief_float	_q_upper max_belief_float	_min max_belief_float	_max max_belief_float
P_1-P_2	100	0.0372328	0.032952	0.00321325	0.032952	0.0393785	0.030258	0.080852
P_1-P_3	100	0.0372328	0.032952	0.00321325	0.032952	0.0393785	0.030258	0.080852
P_3-P_2	100	0.0372328	0.032952	0.00321325	0.032952	0.0393785	0.030258	0.080852
P_2-P_3	100	0.0372328	0.032952	0.00321325	0.032952	0.0393785	0.030258	0.080852
P_3-P_1	100	0.0372328	0.032952	0.00321325	0.032952	0.0393785	0.030258	0.080852
P_2-P_1	100	0.0372328	0.032952	0.00321325	0.032952	0.0393785	0.030258	0.080852
