policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.worth=10]	3421/155701	0.021972	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=11]	684/31133	0.021971	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=12]	8/337	0.023739	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=13]	273/8605	0.031726	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=14]	346/8857	0.039066	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=15]	419/9181	0.045638	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=16]	492/9577	0.051374	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=17]	113/2009	0.056247	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=18]	22/365	0.060274	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=19]	711/11197	0.063500	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=20]	784/11881	0.065988	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=21]	857/12637	0.067817	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=22]	186/2693	0.069068	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=23]	59/845	0.069823	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=24]	1076/15337	0.070158	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=25]	1149/16381	0.070143	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=26]	1222/17497	0.069841	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=27]	7/101	0.069307	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=28]	1368/19945	0.068589	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=29]	1441/21277	0.067726	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=30]	847/12277	0.068991	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=31]	883/12313	0.071713	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=32]	919/12349	0.074419	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=33]	191/2477	0.077110	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=34]	991/12421	0.079785	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=35]	1027/12457	0.082444	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=36]	1063/12493	0.085088	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=37]	1099/12529	0.087717	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=38]	227/2513	0.090331	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=39]	1171/12601	0.092930	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=40]	1207/12637	0.095514	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=41]	1243/12673	0.098083	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=42]	1279/12709	0.100638	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=43]	263/2549	0.103178	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=44]	1351/12781	0.105704	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=45]	1387/12817	0.108216	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=46]	1423/12853	0.110714	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=47]	1459/12889	0.113198	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=48]	299/2585	0.115668	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=49]	1531/12961	0.118124	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=50]	1567/12997	0.120567	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=51]	1603/13033	0.122996	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=52]	1639/13069	0.125412	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=53]	335/2621	0.127814	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=54]	1711/13141	0.130204	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=55]	1747/13177	0.132580	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=56]	1783/13213	0.134943	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=57]	1819/13249	0.137294	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=58]	371/2657	0.139632	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=59]	1891/13321	0.141957	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=60]	1927/13357	0.144269	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=61]	1963/13393	0.146570	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=62]	1999/13429	0.148857	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=63]	407/2693	0.151133	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=64]	2071/13501	0.153397	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=65]	2107/13537	0.155648	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=66]	2143/13573	0.157887	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=67]	2179/13609	0.160115	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=68]	443/2729	0.162331	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=69]	2251/13681	0.164535	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=70]	2287/13717	0.166728	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=71]	2323/13753	0.168909	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=72]	2359/13789	0.171079	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=73]	479/2765	0.173237	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=74]	2431/13861	0.175385	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=75]	2467/13897	0.177521	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=76]	2503/13933	0.179646	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=77]	2539/13969	0.181760	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=78]	515/2801	0.183863	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=79]	2611/14041	0.185956	[who_richer=0]
