policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.x=86]	13/180	0.072223	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=87]	1/13	0.076924	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=88]	7/85	0.082353	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=89]	91/1026	0.088694	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=90]	91/946	0.096195	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=91]	91/865	0.105203	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=92]	91/783	0.116220	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=93]	13/100	0.130000	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=94]	13/88	0.147728	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=95]	91/531	0.171375	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=96]	91/445	0.204495	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=97]	91/358	0.254190	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=98]	91/270	0.337038	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=99]	91/181	0.502763	[out=1]
P_1-P_2	P_1	P_2	[P_2.x=100]	1/1	1.000000	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=10]	2/91	0.021979	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=11]	91/4096	0.022217	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=12]	91/4098	0.022206	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=13]	91/4101	0.022190	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=14]	91/4105	0.022169	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=15]	91/4110	0.022142	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=16]	13/588	0.022109	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=17]	13/589	0.022072	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=18]	91/4131	0.022029	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=19]	91/4140	0.021981	[out=0]
P_1-P_3	P_1	P_3	[P_3.x=20]	91/4131	0.022029	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=21]	91/4120	0.022088	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=22]	7/316	0.022152	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=23]	1/45	0.022223	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=24]	13/583	0.022299	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=25]	91/4066	0.022381	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=26]	91/4050	0.022470	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=27]	91/4033	0.022564	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=28]	91/4015	0.022666	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=29]	91/3996	0.022773	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=30]	13/568	0.022888	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=31]	13/565	0.023009	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=32]	91/3933	0.023138	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=33]	91/3910	0.023274	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=34]	91/3886	0.023418	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=35]	7/297	0.023570	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=36]	7/295	0.023729	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=37]	13/544	0.023898	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=38]	13/540	0.024075	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=39]	91/3751	0.024261	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=40]	91/3721	0.024456	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=41]	91/3690	0.024662	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=42]	91/3658	0.024877	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=43]	91/3625	0.025104	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=44]	13/513	0.025342	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=45]	13/508	0.025591	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=46]	91/3520	0.025853	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=47]	91/3483	0.026127	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=48]	7/265	0.026416	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=49]	7/262	0.026718	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=50]	91/3366	0.027036	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=51]	13/475	0.027369	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=52]	13/469	0.027719	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=53]	91/3240	0.028087	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=54]	91/3196	0.028474	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=55]	91/3151	0.028880	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=56]	91/3105	0.029308	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=57]	91/3058	0.029759	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=58]	13/430	0.030233	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=59]	13/423	0.030733	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=60]	91/2911	0.031261	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=61]	7/220	0.031819	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=62]	7/216	0.032408	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=63]	91/2755	0.033031	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=64]	91/2701	0.033692	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=65]	13/378	0.034392	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=66]	13/370	0.035136	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=67]	91/2533	0.035926	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=68]	91/2475	0.036768	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=69]	91/2416	0.037666	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=70]	91/2356	0.038625	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=71]	91/2295	0.039652	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=72]	13/319	0.040753	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=73]	13/310	0.041936	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=74]	7/162	0.043210	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=75]	7/157	0.044586	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=76]	91/1975	0.046076	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=77]	91/1908	0.047694	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=78]	91/1840	0.049457	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=79]	13/253	0.051384	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=80]	13/243	0.053498	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=81]	91/1630	0.055829	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=82]	91/1558	0.058409	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=83]	91/1485	0.061280	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=84]	91/1411	0.064494	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=85]	91/1336	0.068114	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=86]	13/180	0.072223	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=87]	1/13	0.076924	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=88]	7/85	0.082353	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=89]	91/1026	0.088694	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=90]	91/946	0.096195	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=91]	91/865	0.105203	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=92]	91/783	0.116220	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=93]	13/100	0.130000	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=94]	13/88	0.147728	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=95]	91/531	0.171375	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=96]	91/445	0.204495	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=97]	91/358	0.254190	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=98]	91/270	0.337038	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=99]	91/181	0.502763	[out=1]
P_1-P_3	P_1	P_3	[P_3.x=100]	1/1	1.000000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=10]	1/1	1.000000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=11]	1/2	0.500000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=12]	1/3	0.333334	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=13]	1/4	0.250000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=14]	1/5	0.200000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=15]	1/6	0.166667	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=16]	1/7	0.142858	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=17]	1/8	0.125000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=18]	1/9	0.111112	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=19]	1/10	0.100000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=20]	1/11	0.090910	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=21]	1/12	0.083334	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=22]	1/13	0.076924	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=23]	1/14	0.071429	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=24]	1/15	0.066667	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=25]	1/16	0.062500	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=26]	1/17	0.058824	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=27]	1/18	0.055556	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=28]	1/19	0.052632	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=29]	1/20	0.050000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=30]	1/21	0.047620	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=31]	1/22	0.045455	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=32]	1/23	0.043479	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=33]	1/24	0.041667	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=34]	1/25	0.040000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=35]	1/26	0.038462	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=36]	1/27	0.037038	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=37]	1/28	0.035715	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=38]	1/29	0.034483	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=39]	1/30	0.033334	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=40]	1/31	0.032259	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=41]	1/32	0.031250	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=42]	1/33	0.030304	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=43]	1/34	0.029412	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=44]	1/35	0.028572	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=45]	1/36	0.027778	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=46]	1/37	0.027028	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=47]	1/38	0.026316	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=48]	1/39	0.025642	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=49]	1/40	0.025000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=50]	1/41	0.024391	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=51]	1/42	0.023810	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=52]	1/43	0.023256	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=53]	1/44	0.022728	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=54]	1/45	0.022223	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=55]	1/46	0.021740	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=56]	1/47	0.021277	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=57]	1/48	0.020834	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=58]	1/49	0.020409	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=59]	1/50	0.020000	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=60]	1/51	0.019608	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=61]	1/52	0.019231	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=62]	1/53	0.018868	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=63]	1/54	0.018519	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=64]	1/55	0.018182	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=65]	1/56	0.017858	[out=1]
P_2-P_1	P_2	P_1	[P_1.x=66]	91/5032	0.018085	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=67]	91/4917	0.018508	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=68]	91/4800	0.018959	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=69]	91/4681	0.019441	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=70]	91/4560	0.019957	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=71]	91/4437	0.020510	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=72]	13/616	0.021104	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=73]	91/4185	0.021745	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=74]	7/312	0.022436	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=75]	91/3925	0.023185	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=76]	91/3792	0.023998	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=77]	91/3657	0.024884	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=78]	91/3520	0.025853	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=79]	13/483	0.026916	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=80]	91/3240	0.028087	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=81]	91/3097	0.029384	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=82]	91/2952	0.030827	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=83]	91/2805	0.032443	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=84]	91/2656	0.034263	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=85]	91/2505	0.036328	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=86]	13/336	0.038691	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=87]	7/169	0.041421	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=88]	91/2040	0.044608	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=89]	91/1881	0.048379	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=90]	91/1720	0.052907	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=91]	91/1557	0.058446	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=92]	91/1392	0.065374	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=93]	13/175	0.074286	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=94]	91/1056	0.086175	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=95]	91/885	0.102825	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=96]	91/712	0.127809	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=97]	91/537	0.169460	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=98]	91/360	0.252778	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=99]	91/181	0.502763	[out=0]
P_2-P_1	P_2	P_1	[P_1.x=100]	1/91	0.010990	[out=1]
P_2-P_3	P_2	P_3	[P_3.x=10]	2/91	0.021979	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=11]	45/2048	0.021973	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=12]	15/683	0.021962	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=13]	30/1367	0.021946	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=14]	18/821	0.021925	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=15]	3/137	0.021898	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=16]	15/686	0.021866	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=17]	90/4123	0.021829	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=18]	10/459	0.021787	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=19]	1/46	0.021740	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=20]	9/415	0.021687	[out=0]
P_2-P_3	P_2	P_3	[P_3.x=21]	30/1387	0.021630	[out=0]
