policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.worth=10]	2/91	0.021979	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=11]	1/1	1.000000	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=12]	3/4	0.750000	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=13]	5/9	0.555556	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=14]	7/16	0.437500	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=15]	9/25	0.360000	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=16]	11/36	0.305556	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=17]	13/49	0.265307	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=18]	15/64	0.234375	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=19]	17/81	0.209877	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=20]	19/100	0.190000	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=21]	21/121	0.173554	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=22]	23/144	0.159723	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=23]	25/169	0.147929	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=24]	1/7	0.142858	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=25]	8/53	0.150944	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=26]	17/107	0.158879	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=27]	1/6	0.166667	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=28]	19/109	0.174312	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=29]	2/11	0.181819	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=30]	7/37	0.189190	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=31]	11/56	0.196429	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=32]	23/113	0.203540	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=33]	4/19	0.210527	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=34]	5/23	0.217392	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=35]	13/58	0.224138	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=36]	3/13	0.230770	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=37]	14/59	0.237289	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=38]	29/119	0.243698	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=39]	1/4	0.250000	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=40]	31/121	0.256199	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=41]	16/61	0.262296	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=42]	11/41	0.268293	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=43]	17/62	0.274194	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=44]	7/25	0.280000	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=45]	2/7	0.285715	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=46]	37/127	0.291339	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=47]	19/64	0.296875	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=48]	13/43	0.302326	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=49]	4/13	0.307693	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=50]	41/131	0.312978	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=51]	7/22	0.318182	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=52]	43/133	0.323309	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=53]	22/67	0.328359	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=54]	1/3	0.333334	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=55]	23/68	0.338236	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=56]	47/137	0.343066	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=57]	8/23	0.347827	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=58]	49/139	0.352518	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=59]	5/14	0.357143	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=60]	17/47	0.361703	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=61]	26/71	0.366198	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=62]	53/143	0.370630	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=63]	3/8	0.375000	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=64]	11/29	0.379311	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=65]	28/73	0.383562	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=66]	19/49	0.387756	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=67]	29/74	0.391892	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=68]	59/149	0.395974	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=69]	2/5	0.400000	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=70]	61/151	0.403974	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=71]	31/76	0.407895	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=72]	7/17	0.411765	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=73]	32/77	0.415585	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=74]	13/31	0.419355	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=75]	11/26	0.423077	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=76]	67/157	0.426752	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=77]	34/79	0.430380	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=78]	23/53	0.433963	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=79]	7/16	0.437500	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=80]	71/161	0.440994	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=81]	4/9	0.444445	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=82]	73/163	0.447853	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=83]	37/82	0.451220	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=84]	5/11	0.454546	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=85]	38/83	0.457832	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=86]	77/167	0.461078	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=87]	13/28	0.464286	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=88]	79/169	0.467456	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=89]	8/17	0.470589	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=90]	9/19	0.473685	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=91]	41/86	0.476745	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=92]	83/173	0.479769	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=93]	14/29	0.482759	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=94]	17/35	0.485715	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=95]	43/88	0.488637	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=96]	29/59	0.491526	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=97]	44/89	0.494383	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=98]	90/179	0.502794	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=99]	1/1	1.000000	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=100]	91/181	0.502763	[who_richer=0]
