policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.worth=10]	35821/1629901	0.021978	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=11]	487/8677	0.056126	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=12]	256/1973	0.129752	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=13]	2073/11845	0.175011	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=14]	2866/14617	0.196074	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=15]	3659/18181	0.201255	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=16]	4452/22537	0.197542	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=17]	1049/5537	0.189453	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=18]	6038/33625	0.179569	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=19]	6831/40357	0.169265	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=20]	7624/47881	0.159229	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=21]	8417/56197	0.149777	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=22]	1842/13061	0.141031	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=23]	10003/75205	0.133010	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=24]	10796/85897	0.125686	[who_richer=2]
P_1-P_2	P_1	P_2	[P_2.worth=25]	6427/50257	0.127883	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=26]	6823/50653	0.134701	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=27]	7219/51049	0.141414	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=28]	1523/10289	0.148023	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=29]	8011/51841	0.154531	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=30]	8407/52237	0.160940	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=31]	8803/52633	0.167253	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=32]	9199/53029	0.173472	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=33]	1919/10685	0.179598	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=34]	9991/53821	0.185634	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=35]	10387/54217	0.191582	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=36]	10783/54613	0.197444	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=37]	11179/55009	0.203222	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=38]	2315/11081	0.208917	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=39]	11971/55801	0.214531	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=40]	12367/56197	0.220066	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=41]	12763/56593	0.225523	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=42]	13159/56989	0.230905	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=43]	2711/11477	0.236212	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=44]	13951/57781	0.241447	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=45]	14347/58177	0.246610	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=46]	14743/58573	0.251704	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=47]	15139/58969	0.256729	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=48]	3107/11873	0.261687	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=49]	15931/59761	0.266579	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=50]	16327/60157	0.271407	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=51]	16723/60553	0.276172	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=52]	17119/60949	0.280875	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=53]	3503/12269	0.285517	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=54]	17911/61741	0.290099	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=55]	18307/62137	0.294624	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=56]	18703/62533	0.299091	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=57]	19099/62929	0.303501	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=58]	3899/12665	0.307857	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=59]	19891/63721	0.312158	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=60]	20287/64117	0.316406	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=61]	20683/64513	0.320603	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=62]	21079/64909	0.324747	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=63]	4295/13061	0.328842	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=64]	21871/65701	0.332887	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=65]	22267/66097	0.336884	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=66]	22663/66493	0.340833	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=67]	23059/66889	0.344736	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=68]	4691/13457	0.348592	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=69]	23851/67681	0.352404	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=70]	24247/68077	0.356171	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=71]	24643/68473	0.359894	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=72]	25039/68869	0.363575	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=73]	5087/13853	0.367213	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=74]	25831/69661	0.370811	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=75]	26227/70057	0.374367	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=76]	26623/70453	0.377884	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=77]	27019/70849	0.381361	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=78]	5483/14249	0.384799	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=79]	27811/71641	0.388200	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=80]	28207/72037	0.391563	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=81]	28603/72433	0.394890	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=82]	28999/72829	0.398180	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=83]	5879/14645	0.401434	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=84]	29791/73621	0.404654	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=85]	30187/74017	0.407839	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=86]	30583/74413	0.410991	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=87]	30979/74809	0.414108	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=88]	6275/15041	0.417194	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=89]	31771/75601	0.420246	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=90]	32167/75997	0.423267	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=91]	32563/76393	0.426257	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=92]	32959/76789	0.429216	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=93]	6671/15437	0.432144	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=94]	33751/77581	0.435043	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=95]	34147/77977	0.437912	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=96]	34543/78373	0.440752	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=97]	34939/78769	0.443563	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=98]	35731/79165	0.451349	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=99]	35731/43921	0.813529	[who_richer=1]
P_1-P_2	P_1	P_2	[P_2.worth=100]	36127/79957	0.451831	[who_richer=0]
