policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.x=1]	5/32	0.156250	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=2]	10/89	0.112360	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=3]	11/106	0.103774	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=4]	4/41	0.097561	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=5]	13/142	0.091550	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=6]	13/161	0.080746	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=7]	14/181	0.077349	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=8]	15/197	0.076143	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=9]	16/211	0.075830	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=10]	16/221	0.072399	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=11]	17/229	0.074236	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=12]	18/233	0.077254	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=13]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=14]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=15]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=16]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=17]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=18]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=19]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=20]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=21]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=22]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=23]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=24]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=25]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=26]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=27]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=28]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=29]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=30]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=31]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=32]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=33]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=34]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=35]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=36]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=37]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=38]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=39]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=40]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=41]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=42]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=43]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=44]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=45]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=46]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=47]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=48]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=49]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=50]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=51]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=52]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=53]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=54]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=55]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=56]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=57]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=58]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=59]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=60]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=61]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=62]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=63]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=64]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=65]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=66]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=67]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=68]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=69]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=70]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=71]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=72]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=73]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=74]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=75]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=76]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=77]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=78]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=79]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=80]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=81]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=82]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=83]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=84]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=85]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=86]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=87]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=88]	19/235	0.080852	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=89]	19/234	0.081197	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=90]	19/231	0.082252	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=91]	19/226	0.084071	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=92]	19/219	0.086758	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=93]	19/210	0.090477	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=94]	19/199	0.095478	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=95]	3/31	0.096775	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=96]	17/171	0.099416	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=97]	8/77	0.103897	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=98]	1/9	0.111112	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=99]	7/57	0.122808	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=100]	1/7	0.142858	[similar=1]
