policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.worth=82]	162/8281	0.019563	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=83]	163/8281	0.019684	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=84]	164/8281	0.019805	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=85]	165/8281	0.019926	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=86]	166/8281	0.020046	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=87]	167/8281	0.020167	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=88]	24/1183	0.020288	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=89]	1/49	0.020409	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=90]	170/8281	0.020529	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=91]	171/8281	0.020650	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=92]	172/8281	0.020771	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=93]	173/8281	0.020892	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=94]	174/8281	0.021012	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=95]	25/1183	0.021133	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=96]	176/8281	0.021254	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=97]	177/8281	0.021375	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=98]	178/8281	0.021495	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=99]	179/8281	0.021616	[who_richer=0]
P_1-P_2	P_1	P_2	[P_2.worth=100]	180/8281	0.021737	[who_richer=0]
