policy_on	who_checks	over_whom	secret_value	max_belief	max_belief_float	on_output
P_1-P_2	P_1	P_2	[P_2.x=1]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=2]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=3]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=4]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=5]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=6]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=7]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=8]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=9]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=10]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=11]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=12]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=13]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=14]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=15]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=16]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=17]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=18]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=19]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=20]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=21]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=22]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=23]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=24]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=25]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=26]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=27]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=28]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=29]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=30]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=31]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=32]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=33]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=34]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=35]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=36]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=37]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=38]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=39]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=40]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=41]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=42]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=43]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=44]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=45]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=46]	1/1	1.000000	[similar=1]
P_1-P_2	P_1	P_2	[P_2.x=47]	1/1	1.000000	[similar=1]
